name,channel_url,channel_handle,integration_price_inr,dedicated_price_inr,niche,notes,subscriber_count,total_views,video_count,channel_id
Tech Series,https://www.youtube.com/@techseries5392,techseries5392,35000.0,50000.0,tech,all,3910000,4836877,72,UCpzPENOZcyAsKD6aBK0FLAw
Sudarshan Panda,https://www.youtube.com/@Sudarshanpandaa,Sudarshanpandaa,12000.0,15000.0,earning,all,0,259,1,UCXYq8my2McEc5bZcAzDah3A
Dhoom Dhaam Channel,https://www.youtube.com/@Rajualuvala,Rajualuvala,130000.0,300000.0,regional vlog,all,2200000,1079275258,577,UCdeO56Crh3BmMrra1_L3kJQ
PROTECH,https://www.youtube.com/@PROTECHYT,PROTECHYT,7500.0,85000.0,gaming,non betting,1730000,255949000,1334,UC9SE2WdT5yKWKbtAXkpRx0Q
Lazy Assassin's,https://www.youtube.com/@LazyAssassin,LazyAssassin,70000.0,120000.0,gaming,non betting,1040000,340602632,1086,UC6hTfcDdPADVNUrxXKDlYTg
deadman says,https://www.youtube.com/@TechnoVihaan,TechnoVihaan,50000.0,90000.0,"gaming, GTA",all,975000,186181431,208,UCCxg6r5_5Hh69qxhdsgC14A
GW MANISH,https://www.youtube.com/@gw_manish,gw_manish,40000.0,100000.0,"gaming, FF",Both,4850000,1468279610,2102,UC-KfrJWqokcYaW3NHwiR9SQ
Mr. Rishi,https://www.youtube.com/@MrRishi/featuredd,MrRishi,70000.0,150000.0,"gaming , minecraft",betting,1510000,222978156,99,UCkbtSGtuMB_SG0xqs5rxuXQ
Ayush More,https://www.youtube.com/@AyushMore,AyushMore,55000.0,110000.0,vlog,Non Betting,6230000,1270935289,1050,UCasP4ULpPrDOd4mByIKFRhw
Ayush More 2.0,https://www.youtube.com/@AyushMore2,AyushMore2,55000.0,110000.0,vlog,Non Betting,4390000,754582751,608,UCtjW0Pf1eEhVNrJXzEsLB1Q
Ekta More,https://www.youtube.com/@EktaMore,EktaMore,55000.0,100000.0,vlog,Non Betting,1750000,138938201,182,UCn0KN--mnX7uT0FkUWNBHmw
MoreBlox,https://www.youtube.com/@MoreBloxOfficial,MoreBloxOfficial,60000.0,120000.0,"gaming, Roblox",Non Betting,928000,397096264,568,UCFBFRXpGCtcHxN0N_tFd0ow
Ayush More Reacts,https://www.youtube.com/@AyushMoreReacts/,AyushMoreReacts,60000.0,120000.0,reaction channel,Non Betting,2170000,1106513064,432,UCQsAAV0UkcRNBTIxIOHUb2A
Carry Depie,https://www.youtube.com/@CarryDepie,CarryDepie,90000.0,180000.0,gaming,non betting,4650000,2430944267,669,UClqifC6Nd7v-IfTqce4k62A
अंतरिक्ष TV by Kaushik Bhattacharjee,https://www.youtube.com/@AntarikshTV,AntarikshTV,70000.0,120000.0,science channel,non betting,5360000,954053579,1599,UCZ1OsbnPa1RX6rl9NWlRTOg
Kaushik Bhattacharjee,https://www.youtube.com/@Kaushikantariksh,Kaushikantariksh,55000.0,70000.0,story,non betting,341000,50610943,274,UC32XD2TGOG0He0Ikxc7it4Q
M4X FF,https://www.youtube.com/@maxx111ff,maxx111ff,2500.0,4000.0,ff  reach bahut kam hai,betting,2,57,5,UCcalSfA_HAyl9sB8mMg0v7A
Tabbu Sabnam,www.youtube.com/@tabbusabnam,tabbusabnam,6000.0,7000.0,regional vlog,non betting,2050000,1754622670,2576,UCRy04OqJ61FvERAw_qxjteg
Yug Playz,https://www.youtube.com/@YugPlayz,YugPlayz,70000.0,500000.0,gaming,non betting,2610000,501616873,493,UCnIR-Cipbu7P7uGCm-Sk0hw
BandookBaaz,https://www.youtube.com/@BandookBaaz,BandookBaaz,80000.0,150000.0,"gaming, BGMI",both,2240000,390495064,1359,UCLn66VjgvzyDvuD9fv6_3Mw
SHAANDAR TIPS,https://youtube.com/@shaandartips9579,shaandartips9579,10000.0,20000.0,"gaming, BGMI",,176000,14258034,267,UCQcNHTo8_-25mTUgjhoCd9g
Chaudhary Tips,https://www.youtube.com/@chaudharytips06,chaudharytips06,12000.0,20000.0,earning,,126000,1371383,113,UC9CDEXeXH-F5GzXgmsujXCA
Digital Shashank,https://youtube.com/@flexgaming29,flexgaming29,15000.0,30000.0,earning channel,,153000,30216060,585,UCc3q4T6t-WUAHyfmgQw6Z1Q
flex gaming,http://Youtube.com/@digitalshashank,digitalshashank,30000.0,40000.0,gaming,,313000,2751752,154,UCcd3l_zijXtcZ8b5L7UQdfA
Arrow Gamer,https://youtube.com/@arrowgamer,arrowgamer,20000.0,50000.0,"gaming, BGMI",,1550000,229965312,998,UCAyUzRVNCMoHYxPCH_fyBcg
SHAANDAR GAMER,https://youtube.com/@shaandargamer4594,shaandargamer4594,20000.0,50000.0,"gaming, BGMI",,630000,8078290,148,UCaaN9bHg3efpf1MKpem74oQ
Daizy Aizy Vlogs,https://www.youtube.com/@daizyaizyvlogs8325,daizyaizyvlogs8325,100000.0,150000.0,vlog,,5170000,3072942369,687,UCiyLsTsGwf0FB_P9rQZmJeA
Reneex,https://youtube.com/@reneex404,reneex404,80000.0,,gaming,betting,538000,203763856,84,UC3Go9Rrs3Vy_RFmbwloKr0A
VIHAAN IS LIVE,https://www.youtube.com/@vihaanislive/featured,vihaanislive,20000.0,50000.0,,all,68500,2395651,32,UCo3x6eXHIYIvhQND7cqcoZA
AVRprankTV,https://www.youtube.com/@avrpranktv,avrpranktv,150000.0,400000.0,vlogging,,6920000,964670334,155,UCIHdr1oAtGvPeJTmxpQVDfw
SpaceX,https://youtube.com/@shree_prabha_official,shree_prabha_official,65000.0,120000.0,regional vlog,,805000,336796742,701,UC1lPAv4U8MLt8xJcXBQGmNw
Nani pinky official,https://www.youtube.com/@nanipinkyofficial,nanipinkyofficial,150000.0,300000.0,regional vlog,,3030000,2185312662,1396,UCdsZJOOPmrkrdRt1LR6Fbfw
Kaushik STORIES,https://www.youtube.com/@Kaushikstoriesatv,Kaushikstoriesatv,55000.0,70000.0,story,,660000,82657147,1023,UC_JRvXSHNoVTl1I7mqzYWDg
Yt Mester,https://www.youtube.com/@ladyfinance99,ladyfinance99,15000.0,20000.0,finance,,258000,1024371,12,UCE02d3w5LSvxDtHdD7y-DLw
KK World,https://www.youtube.com/@KKWorld,KKWorld,8000.0,15000.0,tech,,470000,191471294,2551,UCuo5SE1KbIJl1MH8tC9emFQ
Tiox Play,https://youtube.com/@tioxplay,tioxplay,120000.0,,gaming,betting,1430000,477433792,234,UC5fT39STLgUoX-gbH9w9vlQ
KamalPreet Singh,https://www.youtube.com/@imkpreet,imkpreet,20000.0,30000.0,tech,,301000,99842389,961,UCCwt6PDivCeJ9dnQz5jtIqQ
Nishu Tiwari,https://www.youtube.com/@inishutiwari,inishutiwari,800000.0,1500000.0,vlogging,non betting,4820000,959985083,206,UC5aKead6Q8YQYjceizxJIuw
QUALITY 69,https://www.youtube.com/@QUALITY_69,QUALITY_69,15000.0,,"gaming, FF",,247000,29963286,222,UCqjoumbkWtmJ-3fgAHwpvuw
Nilanjana Dhar Shorts,https://www.youtube.com/@NilanjanaDharShorts,NilanjanaDharShorts,25000.0,,earning,Both but probo winzo 1win,5550000,516118087,180,UCngVKppNKRXO3xkEvJ7yCdw
THE INDO TREKKER,https://www.youtube.com/@theindotrekker,theindotrekker,80000.0,,travel vlog,non betting,1570000,401474419,542,UC0bybgPk3rSyM8bEsZWvbcw
AddaKhana,https://www.youtube.com/@addakhanaa,addakhanaa,40000.0,,regional vlog,Both but probo winzo 1win,566000,60135465,131,UCNwF0_gADrIDtxjv3FcDr0Q
BB GAMING 2.0,https://www.youtube.com/@BBGAMING_2.0,BBGAMING_2.0,40000.0,,gaming,Both,144000,16985760,152,UCdCg5gLHXt1ffXKhgezhMOg
Bulky,https://www.youtube.com/@bulky_,bulky_,30000.0,,"gaming , minecraft",betting,302000,37069349,179,UCiw_46ApQ57gvGqRkUt8j4w
Sunny & BB Playz,https://www.youtube.com/@_sunnyplayz,_sunnyplayz,40000.0,,gaming,Both,147000,19016786,193,UC0QN5sTNi7rdS2fRpmJb_hQ
Nil Hearts,https://www.youtube.com/c/NilHearts,NilHearts,40000.0,,earning,Both but probo winzo 1win,620000,92911679,173,UCQWkGLAVDPznrQnhAYmkuMQ
Nilanjana Dhar,https://www.youtube.com/c/nilanjanadhar,nilanjanadhar,100000.0,,vlogging,Both but probo winzo 1win,3230000,701474729,543,UCoS4iknAwZoOXylPJfoVo8Q
Nil & Situ Vlogs,https://www.youtube.com/c/NilSituVlogs,NilSituVlogs,50000.0,,vlog,Both but probo winzo 1win,1090000,214896697,280,UCKHgcjUnD4iptFN70XbuKfA
Gaming with Raahim,https://youtube.com/@gamingwithraahim,gamingwithraahim,40000.0,,"gaming, FF",non betting,2520000,359711219,1024,UCB-Mlc9BNE4K4tUGF4_RdbQ
HandsomeGamer,https://www.youtube.com/@handsomegamers,handsomegamers,80000.0,,gaming,Both,3380000,818548770,855,UCl487GkI6cdPxpMF3ZgDKYQ
Dark Tips ff,https://www.youtube.com/@DarkTipsff,DarkTipsff,60000.0,,"gaming , FF",betting,1500000,143593380,220,UCyDr_naNEYTP_gzraKDCr2Q
BB Playz,https://www.youtube.com/@BBISLIVE,BBISLIVE,40000.0,,gaming,Both,443000,69323835,1052,UCvJcSGs6RuHwOtvb8uY_C5Q
Ramin Op,https://www.youtube.com/@raminopp,raminopp,10000.0,,"gaming , FF",betting,187000,22202997,61,UCbNQBNNlhMEF78fpd0mfbNA
Deadman Says,https://youtube.com/c/DeadmanSays,DeadmanSays,15000.0,60000.0,cricket,,102000,28391013,990,UCVn8qp5pUgkdbUOKghXMPvA
RANZEX FF,https://youtube.com/@ranzexff,ranzexff,30000.0,,"gaming , FF",non betting,799000,79495214,1241,UCk9fUhA2RfMJL7WbCOnlpFw
MrGamerJay,https://www.youtube.com/@MrGamerJay,MrGamerJay,75000.0,,gaming,both,2000000,402024768,263,UCoYZ3nrf-xiVEi93vmn6m-Q
Bulky Star,https://www.youtube.com/@BulkyStar,BulkyStar,60000.0,,"gaming , minecraft",betting,1390000,250911498,498,UC8ZzyNuoZDFeXGDJsB0o-8A
Arjun Vlogs,https://www.youtube.com/@arjunvlogs8249,arjunvlogs8249,25000.0,70000.0,regional vlog,,293000,63127860,277,UC_DzbnZcfih2BaNGOaNuwBA
